CIDR	Start IP	End IP	Subnet Mask	Addresses	Hosts	Wildcard mask
20.176.0.0/15	20.176.0.0	20.177.255.255	255.254.0.0	131072	131070	0.1.255.255
20.178.0.0/16	20.178.0.0	20.178.255.255	255.255.0.0	65536	65534	0.0.255.255
20.179.0.0/17	20.179.0.0	20.179.127.255	255.255.128.0	32768	32766	0.0.127.255
20.179.128.0/18	20.179.128.0	20.179.191.255	255.255.192.0	16384	16382	0.0.63.255
20.179.192.0/19	20.179.192.0	20.179.223.255	255.255.224.0	8192	8190	0.0.31.255
20.179.224.0/20	20.179.224.0	20.179.239.255	255.255.240.0	4096	4094	0.0.15.255
20.179.240.0/21	20.179.240.0	20.179.247.255	255.255.248.0	2048	2046	0.0.7.255
20.179.248.0/22	20.179.248.0	20.179.251.255	255.255.252.0	1024	1022	0.0.3.255
20.179.252.0/23	20.179.252.0	20.179.253.255	255.255.254.0	512	510	0.0.1.255
20.179.254.0/24	20.179.254.0	20.179.254.255	255.255.255.0	256	254	0.0.0.255
20.179.255.0/25	20.179.255.0	20.179.255.127	255.255.255.128	128	126	0.0.0.127
20.179.255.128/26	20.179.255.128	20.179.255.191	255.255.255.192	64	62	0.0.0.63
20.179.255.192/27	20.179.255.192	20.179.255.223	255.255.255.224	32	30	0.0.0.31
20.179.255.224/28	20.179.255.224	20.179.255.239	255.255.255.240	16	14	0.0.0.15
20.179.255.240/29	20.179.255.240	20.179.255.247	255.255.255.248	8	6	0.0.0.7
20.179.255.248/30	20.179.255.248	20.179.255.251	255.255.255.252	4	2	0.0.0.3
20.179.255.252/31	20.179.255.252	20.179.255.253	255.255.255.254	2	2	0.0.0.1
20.179.255.254/32	20.179.255.254	20.179.255.254	255.255.255.255	1	1	0.0.0.0
20.179.255.255/32	20.179.255.255	20.179.255.255	255.255.255.255	1	1	0.0.0.0
207.46.0.0/17	207.46.0.0	207.46.127.255	255.255.128.0	32768	32766	0.0.127.255
207.46.128.0/18	207.46.128.0	207.46.191.255	255.255.192.0	16384	16382	0.0.63.255
207.46.192.0/19	207.46.192.0	207.46.223.255	255.255.224.0	8192	8190	0.0.31.255
207.46.224.0/20	207.46.224.0	207.46.239.255	255.255.240.0	4096	4094	0.0.15.255
207.46.240.0/21	207.46.240.0	207.46.247.255	255.255.248.0	2048	2046	0.0.7.255
207.46.248.0/22	207.46.248.0	207.46.251.255	255.255.252.0	1024	1022	0.0.3.255
207.46.252.0/23	207.46.252.0	207.46.253.255	255.255.254.0	512	510	0.0.1.255
207.46.254.0/24	207.46.254.0	207.46.254.255	255.255.255.0	256	254	0.0.0.255
207.46.255.0/25	207.46.255.0	207.46.255.127	255.255.255.128	128	126	0.0.0.127
207.46.255.128/26	207.46.255.128	207.46.255.191	255.255.255.192	64	62	0.0.0.63
207.46.255.192/27	207.46.255.192	207.46.255.223	255.255.255.224	32	30	0.0.0.31
207.46.255.224/28	207.46.255.224	207.46.255.239	255.255.255.240	16	14	0.0.0.15
207.46.255.240/29	207.46.255.240	207.46.255.247	255.255.255.248	8	6	0.0.0.7
207.46.255.248/30	207.46.255.248	207.46.255.251	255.255.255.252	4	2	0.0.0.3
207.46.255.252/31	207.46.255.252	207.46.255.253	255.255.255.254	2	2	0.0.0.1
207.46.255.254/32	207.46.255.254	207.46.255.254	255.255.255.255	1	1	0.0.0.0
207.46.255.255/32	207.46.255.255	207.46.255.255	255.255.255.255	1	1	0.0.0.0
20.192.0.0/11	20.192.0.0	20.223.255.255	255.224.0.0	2097152	2097150	0.31.255.255
20.224.0.0/12	20.224.0.0	20.239.255.255	255.240.0.0	1048576	1048574	0.15.255.255
20.240.0.0/13	20.240.0.0	20.247.255.255	255.248.0.0	524288	524286	0.7.255.255
20.248.0.0/14	20.248.0.0	20.251.255.255	255.252.0.0	262144	262142	0.3.255.255
20.252.0.0/15	20.252.0.0	20.253.255.255	255.254.0.0	131072	131070	0.1.255.255
20.254.0.0/16	20.254.0.0	20.254.255.255	255.255.0.0	65536	65534	0.0.255.255
20.255.0.0/17	20.255.0.0	20.255.127.255	255.255.128.0	32768	32766	0.0.127.255
20.255.128.0/18	20.255.128.0	20.255.191.255	255.255.192.0	16384	16382	0.0.63.255
20.255.192.0/19	20.255.192.0	20.255.223.255	255.255.224.0	8192	8190	0.0.31.255
20.255.224.0/20	20.255.224.0	20.255.239.255	255.255.240.0	4096	4094	0.0.15.255
20.255.240.0/21	20.255.240.0	20.255.247.255	255.255.248.0	2048	2046	0.0.7.255
20.255.248.0/22	20.255.248.0	20.255.251.255	255.255.252.0	1024	1022	0.0.3.255
20.255.252.0/23	20.255.252.0	20.255.253.255	255.255.254.0	512	510	0.0.1.255
20.255.254.0/24	20.255.254.0	20.255.254.255	255.255.255.0	256	254	0.0.0.255
20.255.255.0/25	20.255.255.0	20.255.255.127	255.255.255.128	128	126	0.0.0.127
20.255.255.128/26	20.255.255.128	20.255.255.191	255.255.255.192	64	62	0.0.0.63
20.255.255.192/27	20.255.255.192	20.255.255.223	255.255.255.224	32	30	0.0.0.31
20.255.255.224/28	20.255.255.224	20.255.255.239	255.255.255.240	16	14	0.0.0.15
20.255.255.240/29	20.255.255.240	20.255.255.247	255.255.255.248	8	6	0.0.0.7
20.255.255.248/30	20.255.255.248	20.255.255.251	255.255.255.252	4	2	0.0.0.3
20.255.255.252/31	20.255.255.252	20.255.255.253	255.255.255.254	2	2	0.0.0.1
20.255.255.254/32	20.255.255.254	20.255.255.254	255.255.255.255	1	1	0.0.0.0
20.255.255.255/32	20.255.255.255	20.255.255.255	255.255.255.255	1	1	0.0.0.0
62.97.106.216/30	62.97.106.216	62.97.106.219	255.255.255.252	4	2	0.0.0.3
62.97.106.220/31	62.97.106.220	62.97.106.221	255.255.255.254	2	2	0.0.0.1
62.97.106.222/32	62.97.106.222	62.97.106.222	255.255.255.255	1	1	0.0.0.0
62.97.106.223/32	62.97.106.223	62.97.106.223	255.255.255.255	1	1	0.0.0.0
20.160.0.0/13	20.160.0.0	20.167.255.255	255.248.0.0	524288	524286	0.7.255.255
20.168.0.0/14	20.168.0.0	20.171.255.255	255.252.0.0	262144	262142	0.3.255.255
20.172.0.0/15	20.172.0.0	20.173.255.255	255.254.0.0	131072	131070	0.1.255.255
20.174.0.0/16	20.174.0.0	20.174.255.255	255.255.0.0	65536	65534	0.0.255.255
20.175.0.0/17	20.175.0.0	20.175.127.255	255.255.128.0	32768	32766	0.0.127.255
20.175.128.0/18	20.175.128.0	20.175.191.255	255.255.192.0	16384	16382	0.0.63.255
20.175.192.0/19	20.175.192.0	20.175.223.255	255.255.224.0	8192	8190	0.0.31.255
20.175.224.0/20	20.175.224.0	20.175.239.255	255.255.240.0	4096	4094	0.0.15.255
20.175.240.0/21	20.175.240.0	20.175.247.255	255.255.248.0	2048	2046	0.0.7.255
20.175.248.0/22	20.175.248.0	20.175.251.255	255.255.252.0	1024	1022	0.0.3.255
20.175.252.0/23	20.175.252.0	20.175.253.255	255.255.254.0	512	510	0.0.1.255
20.175.254.0/24	20.175.254.0	20.175.254.255	255.255.255.0	256	254	0.0.0.255
20.175.255.0/25	20.175.255.0	20.175.255.127	255.255.255.128	128	126	0.0.0.127
20.175.255.128/26	20.175.255.128	20.175.255.191	255.255.255.192	64	62	0.0.0.63
20.175.255.192/27	20.175.255.192	20.175.255.223	255.255.255.224	32	30	0.0.0.31
20.175.255.224/28	20.175.255.224	20.175.255.239	255.255.255.240	16	14	0.0.0.15
20.175.255.240/29	20.175.255.240	20.175.255.247	255.255.255.248	8	6	0.0.0.7
20.175.255.248/30	20.175.255.248	20.175.255.251	255.255.255.252	4	2	0.0.0.3
20.175.255.252/31	20.175.255.252	20.175.255.253	255.255.255.254	2	2	0.0.0.1
20.175.255.254/32	20.175.255.254	20.175.255.254	255.255.255.255	1	1	0.0.0.0
20.175.255.255/32	20.175.255.255	20.175.255.255	255.255.255.255	1	1	0.0.0.0
20.140.0.0/16	20.140.0.0	20.140.255.255	255.255.0.0	65536	65534	0.0.255.255
20.141.0.0/17	20.141.0.0	20.141.127.255	255.255.128.0	32768	32766	0.0.127.255
20.141.128.0/18	20.141.128.0	20.141.191.255	255.255.192.0	16384	16382	0.0.63.255
20.141.192.0/19	20.141.192.0	20.141.223.255	255.255.224.0	8192	8190	0.0.31.255
20.141.224.0/20	20.141.224.0	20.141.239.255	255.255.240.0	4096	4094	0.0.15.255
20.141.240.0/21	20.141.240.0	20.141.247.255	255.255.248.0	2048	2046	0.0.7.255
20.141.248.0/22	20.141.248.0	20.141.251.255	255.255.252.0	1024	1022	0.0.3.255
20.141.252.0/23	20.141.252.0	20.141.253.255	255.255.254.0	512	510	0.0.1.255
20.141.254.0/24	20.141.254.0	20.141.254.255	255.255.255.0	256	254	0.0.0.255
20.141.255.0/25	20.141.255.0	20.141.255.127	255.255.255.128	128	126	0.0.0.127
20.141.255.128/26	20.141.255.128	20.141.255.191	255.255.255.192	64	62	0.0.0.63
20.141.255.192/27	20.141.255.192	20.141.255.223	255.255.255.224	32	30	0.0.0.31
20.141.255.224/28	20.141.255.224	20.141.255.239	255.255.255.240	16	14	0.0.0.15
20.141.255.240/29	20.141.255.240	20.141.255.247	255.255.255.248	8	6	0.0.0.7
20.141.255.248/30	20.141.255.248	20.141.255.251	255.255.255.252	4	2	0.0.0.3
20.141.255.252/31	20.141.255.252	20.141.255.253	255.255.255.254	2	2	0.0.0.1
20.141.255.254/32	20.141.255.254	20.141.255.254	255.255.255.255	1	1	0.0.0.0
20.141.255.255/32	20.141.255.255	20.141.255.255	255.255.255.255	1	1	0.0.0.0
131.107.0.0/17	131.107.0.0	131.107.127.255	255.255.128.0	32768	32766	0.0.127.255
131.107.128.0/18	131.107.128.0	131.107.191.255	255.255.192.0	16384	16382	0.0.63.255
131.107.192.0/19	131.107.192.0	131.107.223.255	255.255.224.0	8192	8190	0.0.31.255
131.107.224.0/20	131.107.224.0	131.107.239.255	255.255.240.0	4096	4094	0.0.15.255
131.107.240.0/21	131.107.240.0	131.107.247.255	255.255.248.0	2048	2046	0.0.7.255
131.107.248.0/22	131.107.248.0	131.107.251.255	255.255.252.0	1024	1022	0.0.3.255
131.107.252.0/23	131.107.252.0	131.107.253.255	255.255.254.0	512	510	0.0.1.255
131.107.254.0/24	131.107.254.0	131.107.254.255	255.255.255.0	256	254	0.0.0.255
131.107.255.0/25	131.107.255.0	131.107.255.127	255.255.255.128	128	126	0.0.0.127
131.107.255.128/26	131.107.255.128	131.107.255.191	255.255.255.192	64	62	0.0.0.63
131.107.255.192/27	131.107.255.192	131.107.255.223	255.255.255.224	32	30	0.0.0.31
131.107.255.224/28	131.107.255.224	131.107.255.239	255.255.255.240	16	14	0.0.0.15
131.107.255.240/29	131.107.255.240	131.107.255.247	255.255.255.248	8	6	0.0.0.7
131.107.255.248/30	131.107.255.248	131.107.255.251	255.255.255.252	4	2	0.0.0.3
131.107.255.252/31	131.107.255.252	131.107.255.253	255.255.255.254	2	2	0.0.0.1
131.107.255.254/32	131.107.255.254	131.107.255.254	255.255.255.255	1	1	0.0.0.0
131.107.255.255/32	131.107.255.255	131.107.255.255	255.255.255.255	1	1	0.0.0.0
51.136.0.0/15	51.136.0.0	51.137.255.255	255.254.0.0	131072	131070	0.1.255.255
51.138.0.0/17	51.138.0.0	51.138.127.255	255.255.128.0	32768	32766	0.0.127.255
51.138.128.0/18	51.138.128.0	51.138.191.255	255.255.192.0	16384	16382	0.0.63.255
51.138.192.0/19	51.138.192.0	51.138.223.255	255.255.224.0	8192	8190	0.0.31.255
51.138.224.0/20	51.138.224.0	51.138.239.255	255.255.240.0	4096	4094	0.0.15.255
51.138.240.0/21	51.138.240.0	51.138.247.255	255.255.248.0	2048	2046	0.0.7.255
51.138.248.0/22	51.138.248.0	51.138.251.255	255.255.252.0	1024	1022	0.0.3.255
51.138.252.0/23	51.138.252.0	51.138.253.255	255.255.254.0	512	510	0.0.1.255
51.138.254.0/24	51.138.254.0	51.138.254.255	255.255.255.0	256	254	0.0.0.255
51.138.255.0/25	51.138.255.0	51.138.255.127	255.255.255.128	128	126	0.0.0.127
51.138.255.128/26	51.138.255.128	51.138.255.191	255.255.255.192	64	62	0.0.0.63
51.138.255.192/27	51.138.255.192	51.138.255.223	255.255.255.224	32	30	0.0.0.31
51.138.255.224/28	51.138.255.224	51.138.255.239	255.255.255.240	16	14	0.0.0.15
51.138.255.240/29	51.138.255.240	51.138.255.247	255.255.255.248	8	6	0.0.0.7
51.138.255.248/30	51.138.255.248	51.138.255.251	255.255.255.252	4	2	0.0.0.3
51.138.255.252/31	51.138.255.252	51.138.255.253	255.255.255.254	2	2	0.0.0.1
51.138.255.254/32	51.138.255.254	51.138.255.254	255.255.255.255	1	1	0.0.0.0
51.138.255.255/32	51.138.255.255	51.138.255.255	255.255.255.255	1	1	0.0.0.0
137.116.0.0/17	137.116.0.0	137.116.127.255	255.255.128.0	32768	32766	0.0.127.255
137.116.128.0/18	137.116.128.0	137.116.191.255	255.255.192.0	16384	16382	0.0.63.255
137.116.192.0/19	137.116.192.0	137.116.223.255	255.255.224.0	8192	8190	0.0.31.255
137.116.224.0/20	137.116.224.0	137.116.239.255	255.255.240.0	4096	4094	0.0.15.255
137.116.240.0/21	137.116.240.0	137.116.247.255	255.255.248.0	2048	2046	0.0.7.255
137.116.248.0/22	137.116.248.0	137.116.251.255	255.255.252.0	1024	1022	0.0.3.255
137.116.252.0/23	137.116.252.0	137.116.253.255	255.255.254.0	512	510	0.0.1.255
137.116.254.0/24	137.116.254.0	137.116.254.255	255.255.255.0	256	254	0.0.0.255
137.116.255.0/25	137.116.255.0	137.116.255.127	255.255.255.128	128	126	0.0.0.127
137.116.255.128/26	137.116.255.128	137.116.255.191	255.255.255.192	64	62	0.0.0.63
137.116.255.192/27	137.116.255.192	137.116.255.223	255.255.255.224	32	30	0.0.0.31
137.116.255.224/28	137.116.255.224	137.116.255.239	255.255.255.240	16	14	0.0.0.15
137.116.255.240/29	137.116.255.240	137.116.255.247	255.255.255.248	8	6	0.0.0.7
137.116.255.248/30	137.116.255.248	137.116.255.251	255.255.255.252	4	2	0.0.0.3
137.116.255.252/31	137.116.255.252	137.116.255.253	255.255.255.254	2	2	0.0.0.1
